Date,Total Value
2020-11-18,14630751.400532583
2020-11-19,14561691.512638813
2020-11-20,14552554.700095722
2020-11-23,14681323.85833476
2020-11-24,14567583.276218597
2020-11-25,14487934.325988853
2020-11-26,14516374.469030617
2020-11-27,14533242.714502305
2020-11-30,14393421.536277976
2020-12-01,14581745.508572893
2020-12-02,14701530.382768188
2020-12-03,14661018.193134384
2020-12-04,14717248.737235256
2020-12-07,14887182.328623548
2020-12-08,15035989.527282124
2020-12-09,14961166.17547032
2020-12-10,14878644.219603216
2020-12-11,14970560.515615666
2020-12-14,14859195.025578799
2020-12-15,14774462.12716214
2020-12-16,14922307.603460686
2020-12-17,14862901.536113888
2020-12-18,14877319.846257087
2020-12-21,14976883.108332425
2020-12-22,14845319.01048165
2020-12-23,14845042.490657998
2020-12-24,14879760.78291749
2020-12-25,14887868.151507827
2020-12-28,14901887.076991552
2020-12-29,14885851.676140036
2020-12-30,15056285.7248336
2020-12-31,15125722.017756207
2021-01-04,15277838.741026076
2021-01-05,15379738.88575038
2021-01-06,15391542.856502395
2021-01-07,15624326.02410151
2021-01-08,15808412.01255983
2021-01-11,15858071.430699032
2021-01-12,15941168.466287991
2021-01-13,16149864.504008323
2021-01-14,15954606.348943833
2021-01-15,16039576.009598803
2021-01-18,16131783.368244601
2021-01-19,16430533.617257012
2021-01-20,16717988.442672642
2021-01-21,17085902.31042955
2021-01-22,16778466.812820133
2021-01-25,16598225.26603989
2021-01-26,16370746.84527301
2021-01-27,16333121.036167517
2021-01-28,16085921.630678862
2021-01-29,15933381.00048868
2021-02-01,16241516.12984847
2021-02-02,16522652.711374588
2021-02-03,16496595.865404852
2021-02-04,16416246.641110858
2021-02-05,16484564.49289054
2021-02-17,16927510.878499765
2021-02-18,16928365.914217293
2021-02-19,16798269.096943658
2021-02-22,16776132.4440694
2021-02-23,16623324.36237228
2021-02-24,16384238.047256289
2021-02-25,16497753.230410181
2021-02-26,16088536.12553061
2021-03-02,16111210.57048348
2021-03-03,16277623.69660717
2021-03-04,15940979.717554176
2021-03-05,15944742.018854285
2021-03-08,15899889.679062154
2021-03-09,15910139.428293588
2021-03-10,15940044.842789568
2021-03-11,16139848.64088262
2021-03-12,16166251.140890157
2021-03-15,16167442.194377046
2021-03-16,16201305.962517848
2021-03-17,16050063.792875824
2021-03-18,16011966.988617359
2021-03-19,15870031.751757048
2021-03-22,15925292.541771723
2021-03-23,15936879.648344684
2021-03-24,15684369.873417804
2021-03-25,15654953.75889989
2021-03-26,15885100.983681722
2021-03-29,15993762.449558474
2021-03-30,15972938.492943464
2021-03-31,15848867.68204361
2021-04-01,16101405.391932344
2021-04-07,16235995.574937847
2021-04-08,16300184.182388978
2021-04-09,16219410.211486895
2021-04-12,16151531.237691808
2021-04-13,16161786.347590972
2021-04-14,16248168.663713867
2021-04-15,16449106.728312328
2021-04-16,16301801.424349537
